year,enso_aso,enso_jja,enso_phase,source,base_period,notes
2007,-1.2,-0.4,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2008,-0.9,-0.4,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2009,0.8,0.5,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2010,-1.5,-0.6,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2011,-1.2,-0.7,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2012,0.3,0.2,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2013,-0.3,-0.3,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2014,0.3,0.2,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2015,2.3,1.5,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2016,-0.6,0.6,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2017,-0.8,-0.2,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2018,0.8,0.5,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2019,0.3,0.5,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2020,-1.2,-0.5,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2021,-0.9,-0.5,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2022,-1.0,-0.8,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2023,1.5,0.8,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2024,-0.8,0.5,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
